usertype,start_station_id,start_station_name,zip_code_start,borough_start,neighborhood_start,end_station_name,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,519,Pershing Square North,10168,Manhattan,Gramercy Park and Murray Hill,E 75 St & 3 Ave,10021,Manhattan,Upper East Side,2015-11-03,2015-11-03,60.6,1.6,0.0,20.0,1
Subscriber,3164,Columbus Ave & W 72 St,10023,Manhattan,Upper West Side,E 72 St & Park Ave,10021,Manhattan,Upper East Side,2015-10-06,2015-10-06,61.2,1.5,0.0,10.0,1
Customer,3139,E 72 St & Park Ave,10021,Manhattan,Upper East Side,E 72 St & Park Ave,10021,Manhattan,Upper East Side,2015-09-13,2015-09-13,72.0,5.2,0.29,20.0,3
Customer,521,8 Ave & W 31 St,10199,Manhattan,Chelsea and Clinton,E 71 St & 2 Ave,10021,Manhattan,Upper East Side,2015-12-12,2015-12-12,59.6,2.7,0.0,30.0,2
Subscriber,3157,East End Ave & E 86 St,10128,Manhattan,Upper East Side,E 72 St & York Ave,10021,Manhattan,Upper East Side,2015-10-14,2015-10-14,63.8,3.2,0.0,10.0,3
Subscriber,3238,E 80 St & 2 Ave,10075,Manhattan,Upper East Side,E 72 St & York Ave,10021,Manhattan,Upper East Side,2015-12-23,2015-12-23,56.4,3.0,0.19,10.0,2
Subscriber,3136,5 Ave & E 63 St,10065,Manhattan,Upper East Side,E 72 St & Park Ave,10021,Manhattan,Upper East Side,2015-11-04,2015-11-04,62.9,2.3,0.0,10.0,1
Subscriber,504,1 Ave & E 15 St,10009,Manhattan,Lower East Side,E 72 St & York Ave,10021,Manhattan,Upper East Side,2015-10-23,2015-10-23,58.8,5.0,0.0,20.0,2
Subscriber,3231,E 67 St & Park Ave,10065,Manhattan,Upper East Side,E 72 St & York Ave,10021,Manhattan,Upper East Side,2015-12-15,2015-12-15,61.8,8.6,0.42,10.0,3
Subscriber,3231,E 67 St & Park Ave,10065,Manhattan,Upper East Side,E 72 St & York Ave,10021,Manhattan,Upper East Side,2015-10-20,2015-10-20,56.2,5.7,0.0,10.0,7
Subscriber,3145,E 84 St & Park Ave,10028,Manhattan,Upper East Side,E 72 St & York Ave,10021,Manhattan,Upper East Side,2015-09-23,2015-09-23,68.4,3.3,0.0,10.0,7
Subscriber,515,W 43 St & 10 Ave,10036,Manhattan,Chelsea and Clinton,E 72 St & York Ave,10021,Manhattan,Upper East Side,2015-10-07,2015-10-07,64.9,2.5,0.0,40.0,1
Customer,3086,Graham Ave & Conselyea St,11211,Brooklyn,Greenpoint,Driggs Ave & Lorimer St,11222,Brooklyn,Greenpoint,2015-09-12,2015-09-12,74.0,2.3,0.0,10.0,3
Subscriber,3112,Milton St & Franklin St,11222,Brooklyn,Greenpoint,Driggs Ave & N Henry St,11222,Brooklyn,Greenpoint,2015-10-10,2015-10-10,58.9,2.6,0.89,10.0,1
Subscriber,3119,Vernon Blvd & 50 Ave,11101,Queens,Northwest Queens,Meserole Ave & Manhattan Ave,11222,Brooklyn,Greenpoint,2015-10-08,2015-10-08,63.8,2.9,0.0,10.0,1
Subscriber,3090,N 8 St & Driggs Ave,11211,Brooklyn,Greenpoint,Norman Ave & Leonard St,11222,Brooklyn,Greenpoint,2015-10-23,2015-10-23,58.8,5.0,0.0,10.0,5
Customer,3077,Stagg St & Union Ave,11211,Brooklyn,Greenpoint,Milton St & Franklin St,11222,Brooklyn,Greenpoint,2015-11-14,2015-11-14,46.4,8.0,0.0,10.0,1
Subscriber,3122,48 Ave & 5 St,11101,Queens,Northwest Queens,Meserole Ave & Manhattan Ave,11222,Brooklyn,Greenpoint,2015-12-24,2015-12-24,66.4,5.1,1.56,10.0,1
Subscriber,3129,Queens Plaza North & Crescent St,11101,Queens,Northwest Queens,Norman Ave & Leonard St,11222,Brooklyn,Greenpoint,2015-09-06,2015-09-06,74.1,1.0,0.0,20.0,1
Subscriber,3110,Meserole Ave & Manhattan Ave,11222,Brooklyn,Greenpoint,Milton St & Franklin St,11222,Brooklyn,Greenpoint,2015-08-15,2015-08-15,80.7,3.3,0.0,30.0,1
Subscriber,3086,Graham Ave & Conselyea St,11211,Brooklyn,Greenpoint,Milton St & Franklin St,11222,Brooklyn,Greenpoint,2015-10-15,2015-10-15,58.2,3.5,0.0,10.0,1
