station_id,station_name,station_latitude,station_longitude,trip_date,start_trips,end_trips,net_flow,neighborhood,borough
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-11-06,65,60,-5,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-12-27,22,21,-1,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-09-21,15,39,24,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-10-06,87,87,0,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-11-04,56,53,-3,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-09-23,82,76,-6,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-12-05,47,40,-7,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-10-26,70,68,-2,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-11-03,66,65,-1,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-09-30,49,54,5,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-12-09,39,34,-5,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-12-31,12,16,4,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-10-08,77,80,3,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-11-13,36,41,5,Upper West Side,Manhattan
3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,2015-09-26,119,110,-9,Upper West Side,Manhattan
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-08-15,16,42,26,Northwest Brooklyn,Brooklyn
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-05-17,14,19,5,Northwest Brooklyn,Brooklyn
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-07-07,19,4,-15,Northwest Brooklyn,Brooklyn
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-10-08,23,17,-6,Northwest Brooklyn,Brooklyn
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-05-28,23,13,-10,Northwest Brooklyn,Brooklyn
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-09-23,17,17,0,Northwest Brooklyn,Brooklyn
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-05-16,5,4,-1,Northwest Brooklyn,Brooklyn
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-04-01,43,32,-11,Northwest Brooklyn,Brooklyn
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-11-24,14,16,2,Northwest Brooklyn,Brooklyn
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716,2015-07-03,24,26,2,Northwest Brooklyn,Brooklyn
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-10-10,49,51,2,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-12-04,93,92,-1,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-12-12,44,41,-3,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-12-09,86,89,3,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-09-11,76,76,0,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-09-25,123,123,0,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-10-19,93,78,-15,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-10-23,97,95,-2,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-12-16,108,112,4,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-09-09,97,80,-17,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-10-21,108,109,1,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-09-06,27,34,7,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-12-25,25,24,-1,Gramercy Park and Murray Hill,Manhattan
3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,2015-08-31,80,58,-22,Gramercy Park and Murray Hill,Manhattan
3139,E 72 St & Park Ave,40.771182875406581,-73.964094221591949,2015-11-03,105,79,-26,Upper East Side,Manhattan
3139,E 72 St & Park Ave,40.771182875406581,-73.964094221591949,2015-12-21,52,26,-26,Upper East Side,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-09-18,158,161,3,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-09-15,152,154,2,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-12-11,120,109,-11,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-10-13,141,159,18,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-10-27,132,131,-1,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-12-15,109,96,-13,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-11-16,104,100,-4,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-12-26,40,46,6,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-09-22,154,150,-4,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-10-05,102,127,25,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-09-21,162,164,2,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-09-09,144,158,14,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-11-06,137,147,10,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-11-04,175,185,10,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-11-21,75,84,9,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-12-05,86,96,10,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-11-29,65,76,11,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-09-30,108,90,-18,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-10-16,127,139,12,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-10-29,161,146,-15,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-11-28,34,54,20,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-09-14,145,146,1,Greenwich Village and Soho,Manhattan
3224,W 13 St & Hudson St,40.73997354103409,-74.005138725042343,2015-10-01,72,85,13,Greenwich Village and Soho,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-11-30,160,193,33,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-05-29,664,475,-189,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-07-16,609,481,-128,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-09-23,708,507,-201,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-04-23,289,272,-17,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-05-28,616,420,-196,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-05-25,189,144,-45,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-08-05,644,504,-140,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-07-13,582,435,-147,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-04-28,402,375,-27,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-09-24,814,664,-150,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-08-20,634,470,-164,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-11-06,250,261,11,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-09-29,527,480,-47,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-04-19,112,105,-7,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-07-29,687,454,-233,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-05-21,565,463,-102,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-10-20,262,265,3,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-08-01,175,148,-27,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-04-08,233,185,-48,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-07-14,562,431,-131,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-04-14,320,281,-39,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-05-06,462,383,-79,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-12-24,111,112,1,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-05-13,598,435,-163,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-04-29,423,362,-61,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-11-19,149,133,-16,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-12-31,119,116,-3,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-05-30,164,151,-13,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-08-19,570,469,-101,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-09-05,157,157,0,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-09-14,578,467,-111,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-11-17,219,211,-8,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-04-21,290,290,0,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-11-10,129,126,-3,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-10-11,183,188,5,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-08-28,619,483,-136,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-05-05,486,395,-91,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-05-22,515,380,-135,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-12-12,147,153,6,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-10-12,209,229,20,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-11-16,239,247,8,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-12-14,195,209,14,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-04-20,69,118,49,Chelsea and Clinton,Manhattan
521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,2015-11-15,138,148,10,Chelsea and Clinton,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-10-06,166,168,2,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-02,103,126,23,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-09-23,152,152,0,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-10-24,116,88,-28,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-06,135,156,21,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-13,125,124,-1,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-07-13,102,123,21,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-09,89,114,25,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-10-17,106,116,10,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-08-22,126,94,-32,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-16,95,123,28,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-08-17,119,140,21,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-05-28,86,107,21,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-09-15,139,138,-1,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-05-25,81,91,10,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-09-12,140,112,-28,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-24,118,119,1,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-17,131,129,-2,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-10-01,118,114,-4,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-08-11,89,89,0,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-03,119,118,-1,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-08-28,136,128,-8,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-29,84,84,0,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-10-28,72,80,8,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-09-27,144,146,2,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-10-18,99,99,0,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-10-20,135,137,2,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-10-21,114,133,19,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-08-10,107,120,13,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-11-10,73,84,11,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-09-28,130,148,18,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-07-02,121,111,-10,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-12-07,101,120,19,Lower East Side,Manhattan
2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2015-08-15,123,108,-15,Lower East Side,Manhattan
3133,E 67 St & Lexington Ave,40.767342591432168,-73.9648586511612,2015-09-18,120,87,-33,Upper East Side,Manhattan
3133,E 67 St & Lexington Ave,40.767342591432168,-73.9648586511612,2015-09-05,155,156,1,Upper East Side,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-08-08,69,76,7,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-10-02,38,26,-12,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-08-23,76,78,2,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-12-31,84,93,9,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-10-30,149,149,0,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-09-29,153,159,6,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-09-03,152,155,3,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-10-08,189,183,-6,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-11-25,90,87,-3,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-09-30,141,137,-4,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-09-16,162,173,11,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-10-22,187,186,-1,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-10-20,153,138,-15,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-08-31,153,142,-11,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-11-30,99,107,8,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-12-10,153,148,-5,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-10-07,179,179,0,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-09-25,169,165,-4,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-09-08,166,148,-18,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-11-14,68,73,5,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-12-08,138,133,-5,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-08-13,139,125,-14,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-08-10,114,100,-14,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-11-11,149,150,1,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-09-06,80,85,5,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-12-19,68,52,-16,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-11-01,112,109,-3,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-10-21,163,155,-8,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-12-13,99,94,-5,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-09-04,129,118,-11,Gramercy Park and Murray Hill,Manhattan
540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2015-12-04,130,131,1,Gramercy Park and Murray Hill,Manhattan
